hi	sat	en	pack
चार-चार के समूह बनाओ	ᱯᱩᱱ ᱦᱚᱲ ᱠᱟᱛᱮ ᱫᱚᱞ ᱵᱮᱱᱟᱣ ᱯᱮ᱾	Make groups of four.	Pack 7 — Group Activities 🟡
मिलकर काम करो	ᱢᱤᱫ ᱛᱮ ᱠᱟᱹᱢᱤ ᱯᱮ᱾	Work together.	Pack 7 — Group Activities 🟡
एक-दूसरे की मदद करो	ᱢᱤᱫ ᱦᱚᱲ ᱟᱨ ᱢᱤᱫ ᱦᱚᱲ ᱜᱚᱲᱚ ᱟᱯᱮ᱾	Help each other.	Pack 7 — Group Activities 🟡
बारी-बारी से काम करो	ᱯᱟᱹᱨᱤ-ᱯᱟᱹᱨᱤ ᱛᱮ ᱠᱟᱹᱢᱤ ᱯᱮ᱾	Take turns.	Pack 7 — Group Activities 🟡
किताब शेयर करो	ᱯᱩᱛᱷᱤ ᱦᱟᱹᱴᱤᱧ ᱯᱮ᱾	Share the book.	Pack 7 — Group Activities 🟡
अपनी सामग्री साझा करो	ᱟᱯᱱᱟᱨᱟᱜ ᱡᱤᱱᱤᱥ ᱦᱟᱹᱴᱤᱧ ᱯᱮ᱾	Share your materials.	Pack 7 — Group Activities 🟡
समूह के साथ इस पर चर्चा करो	ᱟᱯᱮᱭᱟᱜ ᱫᱚᱞ ᱥᱟᱶ ᱱᱚᱣᱟ ᱨᱚᱯᱚᱲ ᱯᱮ᱾	Discuss this with your group.	Pack 7 — Group Activities 🟡
एक उत्तर चुनो	ᱢᱤᱫᱴᱟᱹᱝ ᱛᱮᱞᱟ ᱵᱟᱪᱷᱟᱣ ᱯᱮ᱾	Choose one answer.	Pack 7 — Group Activities 🟡
अपने समूह का उत्तर लिखो	ᱟᱯᱮᱭᱟᱜ ᱫᱚᱞ ᱨᱮᱱᱟᱜ ᱛᱮᱞᱟ ᱚᱞ ᱯᱮ᱾	Write your group answer.	Pack 7 — Group Activities 🟡
बोलने के लिए एक व्यक्ति चुनो	ᱨᱚᱲ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱫ ᱦᱚᱲ ᱵᱟᱪᱷᱟᱣ ᱯᱮ᱾	Select one person to speak.	Pack 7 — Group Activities 🟡
अपना उत्तर प्रस्तुत करो	ᱟᱯᱮᱭᱟᱜ ᱛᱮᱞᱟ ᱥᱟᱢᱟᱝ ᱯᱮ᱾	Present your answer.	Pack 7 — Group Activities 🟡
अपने सहपाठी की सुनो	ᱟᱯᱮᱨᱮᱱ ᱜᱟᱛᱮᱭᱟᱜ ᱟᱸᱡᱚᱢ ᱯᱮ᱾	Listen to your classmate.	Pack 7 — Group Activities 🟡
अपने साथी को उत्तर देने दो	ᱟᱢᱟᱜ ᱜᱟᱛᱮ ᱛᱮᱞᱟ ᱮᱢ ᱪᱚᱣᱟᱭ ᱢᱮ᱾	Let your partner answer.	Pack 7 — Group Activities 🟡
अपने समूह के सदस्य को बीच में मत टोको	ᱟᱯᱮ ᱫᱚᱞ ᱨᱮᱱ ᱦᱚᱲ ᱛᱟᱞᱟ ᱨᱮ ᱟᱞᱚᱯᱮ ᱴᱚᱠᱟᱣ ᱮᱭᱟ᱾	Don't interrupt your group member.	Pack 7 — Group Activities 🟡
कृपया शांत रहें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱛᱷᱤᱨᱩᱜ ᱯᱮ᱾	Please be quiet.	Pack 8 — Classroom Discipline 🟠
बात करना बंद करो	ᱨᱚᱲ ᱵᱚᱸᱫᱚᱭ ᱯᱮ᱾	Stop talking.	Pack 8 — Classroom Discipline 🟠
चिल्लाओ मत	ᱟᱞᱚᱯᱮ ᱠᱮᱠᱮ ᱭᱟ᱾	Don't shout.	Pack 8 — Classroom Discipline 🟠
क्लास को परेशान मत करो	ᱠᱞᱟᱥ ᱟᱞᱚᱯᱮ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱭᱟ᱾	Don't disturb the class.	Pack 8 — Classroom Discipline 🟠
अपने सहपाठियों को परेशान मत करो	ᱟᱯᱮᱨᱮᱱ ᱜᱟᱛᱮ ᱠᱚ ᱟᱞᱚᱯᱮ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱠᱚᱣᱟ᱾	Don't disturb your classmates.	Pack 8 — Classroom Discipline 🟠
झगड़ा मत करो	ᱟᱞᱚᱯᱮ ᱛᱟᱯᱟᱢᱟ᱾	Don't fight.	Pack 8 — Classroom Discipline 🟠
धक्का मत दो	ᱟᱞᱚᱯᱮ ᱴᱷᱮᱞᱟᱣᱟ᱾	Don't push.	Pack 8 — Classroom Discipline 🟠
दौड़ो मत	ᱟᱞᱚᱯᱮ ᱫᱟᱹᱲᱟ᱾	Don't run.	Pack 8 — Classroom Discipline 🟠
शिक्षक की बात सुनो	ᱢᱟᱪᱮᱛ ᱟᱜ ᱠᱟᱛᱷᱟ ᱟᱸᱡᱚᱢ ᱯᱮ᱾	Listen to the teacher.	Pack 8 — Classroom Discipline 🟠
अपने सहपाठियों का सम्मान करो	ᱟᱯᱮᱨᱮᱱ ᱜᱟᱛᱮ ᱠᱚ ᱢᱟᱱᱚᱛ ᱠᱚᱯᱮ᱾	Respect your classmates.	Pack 8 — Classroom Discipline 🟠
सभी का सम्मान करो	ᱡᱚᱛᱚ ᱦᱚᱲ ᱢᱟᱱᱚᱛ ᱠᱚᱯᱮ᱾	Respect everyone.	Pack 8 — Classroom Discipline 🟠
बोलने से पहले हाथ उठाओ	ᱨᱚᱲ ᱞᱟᱦᱟ ᱨᱮ ᱛᱤ ᱛᱩᱞ ᱯᱮ᱾	Raise your hand before speaking.	Pack 8 — Classroom Discipline 🟠
उसे अलग रख दो	ᱚᱱᱟ ᱥᱟᱦᱟ ᱨᱮ ᱫᱚᱦᱚᱭ ᱢᱮ᱾	Put that away.	Pack 8 — Classroom Discipline 🟠
वह करना बंद करो	ᱚᱱᱟ ᱠᱟᱹᱢᱤ ᱵᱚᱸᱫᱚᱭ ᱢᱮ᱾	Stop doing that.	Pack 8 — Classroom Discipline 🟠
इसकी अनुमति नहीं है	ᱱᱚᱣᱟ ᱨᱮᱱᱟᱜ ᱦᱮᱸ-ᱥᱟᱹᱨᱤ ᱵᱟᱹᱱᱩᱜᱼᱟ᱾	This is not allowed.	Pack 8 — Classroom Discipline 🟠
कृपया सही ढंग से व्यवहार करें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱱᱟᱯᱟᱭ ᱛᱮ ᱛᱟᱦᱮᱸᱱ ᱯᱮ᱾	Please behave properly.	Pack 8 — Classroom Discipline 🟠
सावधान रहो!	ᱥᱟᱵᱽᱫᱷᱟᱱᱚᱜ ᱢᱮ!	Be careful\!	Pack 9 — Classroom Safety 🔴 CRITICAL
धीरे चलो	ᱵᱟᱹᱭ-ᱵᱟᱹᱭ ᱛᱮ ᱛᱟᱲᱟᱢ ᱢᱮ᱾	Walk slowly.	Pack 9 — Classroom Safety 🔴 CRITICAL
उसे मत छुओ	ᱚᱱᱟ ᱟᱞᱚᱢ ᱡᱚᱴᱮᱫᱟ᱾	Don't touch that.	Pack 9 — Classroom Safety 🔴 CRITICAL
समूह के साथ रहो	ᱫᱚᱞ ᱥᱟᱶ ᱛᱟᱦᱮᱸᱱ ᱢᱮ᱾	Stay with the group.	Pack 9 — Classroom Safety 🔴 CRITICAL
बाहर मत जाओ	ᱵᱟᱦᱨᱮ ᱟᱞᱚᱢ ᱪᱟᱞᱟᱜᱼᱟ᱾	Don't go outside.	Pack 9 — Classroom Safety 🔴 CRITICAL
दूर हटो	ᱥᱟᱦᱟᱜ ᱢᱮ᱾	Move away.	Pack 9 — Classroom Safety 🔴 CRITICAL
वहाँ से दूर रहो	ᱚᱸᱰᱮ ᱠᱷᱚᱱ ᱥᱟᱦᱟ ᱨᱮ ᱛᱟᱦᱮᱸᱱ ᱢᱮ᱾	Stay away from there.	Pack 9 — Classroom Safety 🔴 CRITICAL
किसी को चोट लगी है	ᱚᱠᱚᱭ ᱦᱚᱲ ᱪᱚᱴ ᱮ ᱧᱟᱢ ᱠᱮᱫᱟ᱾	Someone is hurt.	Pack 9 — Classroom Safety 🔴 CRITICAL
क्या तुम्हें चोट लगी है?	ᱟᱢ ᱪᱚᱴᱮᱢ ᱧᱟᱢ ᱠᱟᱫᱟ?	Are you injured?	Pack 9 — Classroom Safety 🔴 CRITICAL
शिक्षक को बुलाओ	ᱢᱟᱪᱮᱛ ᱦᱚᱦᱚ ᱟᱭ ᱢᱮ᱾	Call the teacher.	Pack 9 — Classroom Safety 🔴 CRITICAL
मदद के लिए पुकारो	ᱜᱚᱲᱚ ᱞᱟᱹᱠᱛᱤ ᱦᱚᱦᱚᱭ ᱢᱮ᱾	Call for help.	Pack 9 — Classroom Safety 🔴 CRITICAL
हमें मदद की जरूरत है	ᱟᱵᱚ ᱜᱚᱲᱚ ᱞᱟᱹᱠᱛᱤ ᱵᱚᱱᱟ᱾	We need help.	Pack 9 — Classroom Safety 🔴 CRITICAL
किसी को डॉक्टर की जरूरत है	ᱚᱠᱚᱭ ᱦᱚᱲ ᱰᱟᱠᱛᱟᱨ ᱞᱟᱹᱠᱛᱤ ᱮᱭᱟ᱾	Someone needs a doctor.	Pack 9 — Classroom Safety 🔴 CRITICAL
हिलना मत	ᱟᱞᱚᱢ ᱦᱤᱞᱟᱹᱣᱚᱜᱼᱟ᱾	Don't move.	Pack 9 — Classroom Safety 🔴 CRITICAL
क्लास अब शुरू होती है	ᱠᱞᱟᱥ ᱱᱤᱛᱚᱜ ᱮᱦᱚᱵᱚᱜ ᱠᱟᱱᱟ᱾	The class starts now.	Pack 10 — Lesson Flow 🟡
आप सभी को शुभ प्रभात	ᱡᱚᱛᱚ ᱠᱚ ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ᱾	Good morning, everyone.	Pack 10 — Lesson Flow 🟡
आज हम ___ सीखेंगे	ᱛᱮᱦᱮᱧ ᱟᱵᱚ ___ ᱵᱚᱱ ᱪᱮᱫᱟ᱾	Today we will learn \_\_\_.	Pack 10 — Lesson Flow 🟡
आज का पाठ ___ के बारे में है	ᱛᱮᱦᱮᱧᱟᱜ ᱯᱟᱴᱷ ᱫᱚ ___ ᱵᱟᱵᱚᱛ ᱛᱮ ᱠᱟᱱᱟ᱾	Today's lesson is about \_\_\_.	Pack 10 — Lesson Flow 🟡
चलिए शुरू करते हैं	ᱫᱮᱞᱟ ᱵᱚᱱ ᱮᱦᱚᱵᱟ᱾	Let's begin.	Pack 10 — Lesson Flow 🟡
शुरू करते हैं	ᱮᱦᱚᱵ ᱵᱚᱱ᱾	Let's start.	Pack 10 — Lesson Flow 🟡
आओ मिलकर पढ़ें	ᱫᱮᱞᱟ ᱢᱤᱫ ᱛᱮ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣᱟ᱾	Let's read together.	Pack 10 — Lesson Flow 🟡
आओ अभ्यास करें	ᱫᱮᱞᱟ ᱵᱚᱱ ᱚᱵᱷᱭᱟᱥ ᱭᱟ᱾	Let's practice.	Pack 10 — Lesson Flow 🟡
आओ एक उदाहरण का प्रयास करें	ᱫᱮᱞᱟ ᱢᱤᱫᱴᱟᱹᱝ ᱩᱫᱟᱹᱦᱚᱨᱚᱱ ᱵᱚᱱ ᱧᱮᱞᱟ	Let's try an example.	Pack 10 — Lesson Flow 🟡
अब तुम कोशिश करो	ᱱᱤᱛᱚᱜ ᱟᱢ ᱠᱩᱨᱩᱢᱩᱴᱩᱭ ᱢᱮ᱾	Now you try.	Pack 10 — Lesson Flow 🟡
आओ इसे मिलकर हल करें	ᱫᱮᱞᱟ ᱱᱚᱣᱟ ᱢᱤᱫ ᱛᱮ ᱵᱚᱱ ᱥᱚᱞᱦᱮ ᱭᱟ᱾	Let's solve this together.	Pack 10 — Lesson Flow 🟡
कोई सवाल?	ᱪᱮᱫ ᱠᱩᱠᱞᱤ ᱢᱮᱱᱟᱜᱼᱟ?	Any questions?	Pack 10 — Lesson Flow 🟡
आओ देखें हमने क्या सीखा	ᱫᱮᱞᱟ ᱵᱚᱱ ᱧᱮᱞ ᱨᱩᱣᱟᱹᱲᱟ ᱪᱮᱫ ᱵᱚᱱ ᱪᱮᱫ ᱠᱮᱫᱟ᱾	Let's review what we learned.	Pack 10 — Lesson Flow 🟡
आज हमने क्या सीखा?	ᱛᱮᱦᱮᱧ ᱟᱵᱚ ᱪᱮᱫ ᱵᱚᱱ ᱪᱮᱫ ᱠᱮᱫᱟ?	What did we learn today?	Pack 10 — Lesson Flow 🟡
हम कल जारी रखेंगे	ᱟᱵᱚ ᱜᱟᱯᱟ ᱵᱚᱱ ᱛᱚᱸᱜᱮ ᱭᱟ᱾	We will continue tomorrow.	Pack 10 — Lesson Flow 🟡
पाठ समाप्त हो गया है	ᱯᱟᱴᱷ ᱢᱩᱪᱟᱹᱫᱽ ᱮᱱᱟ᱾	The lesson is finished.	Pack 10 — Lesson Flow 🟡
क्लास समाप्त हो गई है	ᱠᱞᱟᱥ ᱪᱟᱵᱟ ᱮᱱᱟ᱾	The class is over.	Pack 10 — Lesson Flow 🟡
अब आप जा सकते हैं	ᱱᱤᱛᱚᱜ ᱟᱯᱮ ᱪᱟᱞᱟᱜ ᱫᱟᱲᱮ ᱭᱟᱜᱼᱟ ᱯᱮ᱾	You may leave now.	Pack 10 — Lesson Flow 🟡
नमस्ते	ᱡᱚᱦᱟᱨ	Hello.	Pack 11 — Basic Communication
शुभ प्रभात	ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ᱾	Good morning.	Pack 11 — Basic Communication
शुभ दोपहर	ᱥᱟᱹᱜᱩᱱ ᱛᱤᱠᱤᱱ᱾	Good afternoon.	Pack 11 — Basic Communication
शुभ संध्या	ᱥᱟᱹᱜᱩᱱ ᱟᱹᱭᱩᱵ᱾	Good evening.	Pack 11 — Basic Communication
आप कैसे हैं?	ᱟᱢ ᱪᱮᱫ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?	How are you?	Pack 11 — Basic Communication
मैं ठीक हूँ	ᱤᱧ ᱱᱟᱯᱟᱭ ᱜᱮ ᱢᱮᱱᱟᱹᱧᱟ᱾	I am fine.	Pack 11 — Basic Communication
मेरा नाम ___ है	ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ___ ᱠᱟᱱᱟ᱾	My name is \_\_\_.	Pack 11 — Basic Communication
आप कहाँ से हैं?	ᱟᱢ ᱚᱠᱟ ᱠᱷᱚᱱᱮᱢ ᱦᱮᱡ ᱟᱠᱟᱱᱟ?	Where are you from?	Pack 11 — Basic Communication
मैं ___ से हूँ	ᱤᱧ ᱫᱚ ___ ᱠᱷᱚᱱᱤᱧ ᱦᱮᱡ ᱟᱠᱟᱱᱟ᱾	I am from \_\_\_.	Pack 11 — Basic Communication
धन्यवाद	ᱥᱟᱨᱦᱟᱣ	Thank you.	Pack 11 — Basic Communication
आपका स्वागत है	ᱟᱢᱟᱜ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ᱾	You are welcome.	Pack 11 — Basic Communication
कृपया	ᱫᱟᱭᱟ ᱠᱟᱛᱮ᱾	Please.	Pack 11 — Basic Communication
क्षमा कीजिए	ᱤᱠᱟᱹ ᱠᱟᱹᱧ ᱢᱮ᱾	Excuse me.	Pack 11 — Basic Communication
माफ करना	ᱤᱠᱟᱹ ᱠᱟᱹᱧ ᱢᱮ᱾	Sorry.	Pack 11 — Basic Communication
यह ठीक है	ᱱᱚᱣᱟ ᱴᱷᱤᱠ ᱜᱮᱭᱟ᱾	It is okay.	Pack 11 — Basic Communication
हाँ	ᱦᱮᱸ	Yes.	Pack 11 — Basic Communication
नहीं	ᱵᱟᱝ	No.	Pack 11 — Basic Communication
शायद	ᱯᱟᱞᱮ	Maybe.	Pack 11 — Basic Communication
मुझे नहीं पता	ᱤᱧ ᱵᱟᱹᱧ ᱵᱟᱰᱟᱭᱟ᱾	I don't know.	Pack 11 — Basic Communication
मैं समझता हूँ	ᱤᱧᱤᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱮᱫᱟ᱾	I understand.	Pack 11 — Basic Communication
मुझे समझ नहीं आया	ᱤᱧ ᱵᱟᱹᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱞᱮᱫᱟ᱾	I don't understand.	Pack 11 — Basic Communication
कृपया फिर से कहें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱚᱱᱟ ᱟᱨᱦᱚᱸ ᱢᱮᱱ ᱢᱮ᱾	Please say that again.	Pack 11 — Basic Communication
कृपया धीरे बोलें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱵᱟᱹᱭ-ᱵᱟᱹᱭ ᱛᱮ ᱨᱚᱲ ᱢᱮ᱾	Please speak slowly.	Pack 11 — Basic Communication
क्या आप इसे दोहरा सकते हैं?	ᱟᱢ ᱚᱱᱟ ᱟᱨᱦᱚᱸ ᱢᱮᱱ ᱫᱟᱲᱮ ᱭᱟᱜᱼᱟ?	Can you repeat that?	Pack 11 — Basic Communication
आपने क्या कहा?	ᱟᱢ ᱪᱮᱫ ᱮᱢ ᱢᱮᱱ ᱠᱮᱫᱟ?	What did you say?	Pack 11 — Basic Communication
कृपया समझाएं	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱵᱩᱡᱷᱟᱹᱣ ᱢᱮ᱾	Please explain.	Pack 11 — Basic Communication
रुक जाओ	ᱛᱷᱟᱹᱢ ᱢᱮ	Stop.	Pack 12 — General Commands
शुरू करो	ᱮᱦᱚᱵ ᱢᱮ᱾	Start.	Pack 12 — General Commands
मत जाओ	ᱟᱞᱚᱢ ᱪᱟᱞᱟᱜᱼᱟ᱾	Don't go.	Pack 12 — General Commands
यहाँ देखो	ᱱᱚᱰᱮ ᱠᱚᱭᱚᱜᱽ ᱢᱮ᱾	Look here.	Pack 12 — General Commands
वहाँ देखो	ᱚᱸᱰᱮ ᱠᱚᱭᱚᱜᱽ ᱢᱮ᱾	Look there.	Pack 12 — General Commands
बोलो	ᱨᱚᱲ ᱢᱮ᱾	Speak.	Pack 12 — General Commands
मत बोलो	ᱟᱞᱚᱢ ᱨᱚᱲᱟ᱾	Don't speak.	Pack 12 — General Commands
इसे मत छुओ	ᱱᱚᱣᱟ ᱟᱞᱚᱢ ᱡᱚᱴᱮᱫᱟ᱾	Don't touch this.	Pack 12 — General Commands
इसे खोलो	ᱱᱚᱣᱟ ᱡᱷᱤᱡᱽ ᱢᱮ᱾	Open this.	Pack 12 — General Commands
इसे बंद करो	ᱱᱚᱣᱟ ᱵᱚᱸᱫᱚᱭ ᱢᱮ᱾	Close this.	Pack 12 — General Commands
मुझे यह दो	ᱱᱚᱣᱟ ᱤᱧ ᱮᱢᱟᱹᱧ ᱢᱮ᱾	Give me this.	Pack 12 — General Commands
यह लो	ᱱᱚᱣᱟ ᱦᱟᱛᱟᱣ ᱢᱮ᱾	Take this.	Pack 12 — General Commands
इसे लाओ	ᱱᱚᱣᱟ ᱟᱹᱜᱩᱭ ᱢᱮ᱾	Bring this.	Pack 12 — General Commands
इसे यहाँ रखो	ᱱᱚᱣᱟ ᱱᱚᱰᱮ ᱫᱚᱦᱚᱭ ᱢᱮ᱾	Put it here.	Pack 12 — General Commands
एक तरफ हटो	ᱥᱟᱦᱟᱜ ᱢᱮ᱾	Move aside.	Pack 12 — General Commands
मेरा इंतज़ार करो	ᱤᱧ ᱛᱟᱸᱜᱤ ᱭᱤᱧ ᱢᱮ᱾	Wait for me.	Pack 12 — General Commands
वापस आओ	ᱨᱩᱣᱟᱹᱲ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come back.	Pack 12 — General Commands
मदद!	ᱜᱚᱲᱚ!	Help\!	Pack 13 — Emergency & Safety 🔴
बचाओ!	ᱜᱚᱲᱚ!	Help\!	Pack 13 — Emergency & Safety 🔴
मुझे मदद चाहिए	ᱤᱧ ᱜᱚᱲᱚ ᱞᱟᱹᱠᱛᱤ ᱟᱹᱧ ᱠᱟᱱᱟ᱾	I need help.	Pack 13 — Emergency & Safety 🔴
पुलिस को बुलाओ	ᱯᱩᱞᱤᱥ ᱦᱚᱦᱚ ᱟᱠᱚ ᱯᱮ᱾	Call the police.	Pack 13 — Emergency & Safety 🔴
एम्बुलेंस को बुलाओ	ᱮᱢᱵᱩᱞᱮᱱᱥ ᱦᱚᱦᱚᱭ ᱢᱮ᱾	Call an ambulance.	Pack 13 — Emergency & Safety 🔴
डॉक्टर को बुलाओ	ᱰᱟᱠᱛᱟᱨ ᱦᱚᱦᱚ ᱟᱭ ᱢᱮ᱾	Call a doctor.	Pack 13 — Emergency & Safety 🔴
आपातकाल है	ᱟᱹᱰᱤ ᱞᱟᱹᱠᱛᱤᱭᱟᱱ ᱠᱟᱹᱢᱤ ᱦᱩᱭ ᱟᱠᱟᱱᱟ᱾	There is an emergency.	Pack 13 — Emergency & Safety 🔴
कोई घायल है	ᱚᱠᱚᱭ ᱦᱚᱲ ᱮ ᱟघात ᱮᱱᱟ᱾	Someone is injured.	Pack 13 — Emergency & Safety 🔴
कोई बीमार है	ᱚᱠᱚᱭ ᱦᱚᱲ ᱮ ᱨᱩᱣᱟᱹ ᱠᱟᱱᱟ᱾	Someone is sick.	Pack 13 — Emergency & Safety 🔴
मुझे डॉक्टर की ज़रूरत है	ᱤᱧ ᱰᱟᱠᱛᱟᱨ ᱞᱟᱹᱠᱛᱤ ᱟᱹᱧ ᱠᱟᱱᱟ᱾	I need a doctor.	Pack 13 — Emergency & Safety 🔴
अस्पताल कहाँ है?	ᱦᱟᱥᱯᱟᱛᱟᱞ ᱚᱠᱟ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	Where is the hospital?	Pack 13 — Emergency & Safety 🔴
थाना कहाँ है?	ᱛᱷᱟᱱᱟ	Where is the police station?	Pack 13 — Emergency & Safety 🔴
आग लग गई है!	ᱥᱮᱝᱜᱮᱞ ᱞᱟᱜᱟᱣ ᱮᱱᱟ!	There is a fire.	Pack 13 — Emergency & Safety 🔴
वहाँ मत जाओ	ᱚᱸᱰᱮ ᱟᱞᱚᱢ ᱪᱟᱞᱟᱜᱼᱟ᱾	Don't go there.	Pack 13 — Emergency & Safety 🔴
दूर रहो	ᱥᱟᱦᱟ ᱨᱮ ᱛᱟᱦᱮᱸᱱ ᱢᱮ᱾	Stay away.	Pack 13 — Emergency & Safety 🔴
यह खतरनाक है	ᱱᱚᱣᱟ ᱫᱚ ᱵᱚᱛᱚᱨᱟᱱ ᱠᱟᱱᱟ᱾	It is dangerous.	Pack 13 — Emergency & Safety 🔴
मैं सांस नहीं ले पा रहा हूँ	ᱤᱧ ᱥᱟᱸᱦᱮᱫ ᱵᱟᱹᱧ ᱦᱟᱛᱟᱣ ᱫᱟᱲᱮ ᱭᱟᱜ ᱠᱟᱱᱟ᱾	I cannot breathe.	Pack 13 — Emergency & Safety 🔴
मुझे पानी चाहिए	ᱤᱧ ᱫᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱟᱹᱧ ᱠᱟᱱᱟ᱾	I need water.	Pack 13 — Emergency & Safety 🔴
कृपया इस व्यक्ति की मदद करें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱱᱩᱭ ᱦᱚᱲ ᱜᱚᱲᱚ ᱟᱭ ᱯᱮ᱾	Please help this person.	Pack 13 — Emergency & Safety 🔴
हमें तुरंत मदद की जरूरत है	ᱟᱵᱚ ᱱᱤᱛᱚᱜ ᱜᱮ ᱜᱚᱲᱚ ᱞᱟᱹᱠᱛᱤ ᱵᱚᱱᱟ᱾	We need help immediately.	Pack 13 — Emergency & Safety 🔴
यह जगह कहाँ है?	ᱱᱚᱣᱟ ᱴᱷᱟᱶ ᱫᱚ ᱚᱠᱟ ᱨᱮ?	Where is this place?	Pack 14 — Directions
हम कहाँ हैं?	ᱟᱵᱚ ᱚᱠᱟ ᱨᱮ ᱢᱮᱱᱟ ᱵᱚᱱᱟ?	Where are we?	Pack 14 — Directions
गाँव कहाँ है?	ᱟᱹᱛᱩ ᱫᱚ ᱚᱠᱟ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	Where is the village?	Pack 14 — Directions
शहर कहाँ है?	ᱵᱟᱡᱟᱨ	Where is the town?	Pack 14 — Directions
सड़क कहाँ है?	ᱰᱟᱦᱟᱨ ᱫᱚ ᱚᱠᱟ ᱨᱮ?	Where is the road?	Pack 14 — Directions
स्कूल कहाँ है?	ᱤᱛᱩᱱ ᱟᱥᱲᱟ ᱚᱠᱟ ᱨᱮ?	Where is the school?	Pack 14 — Directions
बाजार कहाँ है?	ᱦᱟᱴ	Where is the market?	Pack 14 — Directions
सीधे जाओ	ᱥᱚᱡᱷᱮ ᱪᱟᱞᱟᱜ ᱢᱮ᱾	Go straight.	Pack 14 — Directions
बाएं मुड़ो	ᱞᱮᱸᱜᱟ ᱥᱮᱫ ᱟᱹᱪᱩᱨᱚᱜ ᱢᱮ᱾	Turn left.	Pack 14 — Directions
दाएं मुड़ो	ᱡᱚᱡᱚᱢ ᱥᱮᱫ ᱟᱹᱪᱩᱨᱚᱜ ᱢᱮ᱾	Turn right.	Pack 14 — Directions
यहाँ रुको	ᱱᱚᱰᱮ ᱛᱤᱸᱜᱩᱱ ᱢᱮ᱾	Stop here.	Pack 14 — Directions
इस तरफ आओ	ᱱᱚᱣᱟ ᱥᱮᱫ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come this way.	Pack 14 — Directions
यह पास में है	ᱱᱚᱣᱟ ᱥᱩᱨ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ᱾	It is nearby.	Pack 14 — Directions
यह दूर है	ᱱᱚᱣᱟ ᱥᱟᱹᱜᱤᱧ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ᱾	It is far away.	Pack 14 — Directions
यह कितनी दूर है?	ᱱᱚᱣᱟ ᱛᱤᱱᱟᱹᱜ ᱥᱟᱹᱜᱤᱧᱟ?	How far is it?	Pack 14 — Directions
कितना समय लगेगा?	ᱛᱤᱱᱟᱹᱜ ᱚᱠᱛᱚ ᱦᱟᱛᱟᱣᱟ?	How long will it take?	Pack 14 — Directions
मुझे वहाँ ले चलो	ᱤᱧ ᱚᱸᱰᱮ ᱤᱫᱤᱧ ᱢᱮ᱾	Take me there.	Pack 14 — Directions
मुझे रास्ता दिखाओ	ᱤᱧ ᱰᱟᱦᱟᱨ ᱩᱫᱩᱜᱟᱹᱧ ᱢᱮ᱾	Show me the way.	Pack 14 — Directions
मैं भटक गया हूँ	ᱤᱧ ᱰᱟᱦᱟᱨᱤᱧ ᱟᱫ ᱠᱮᱫᱟ᱾	I am lost.	Pack 14 — Directions
मुझे भूख लगी है	ᱤᱧ ᱨᱮᱸᱜᱮᱡ ᱤᱧ ᱠᱟᱱᱟ᱾	I am hungry.	Pack 15 — Daily Needs
मुझे प्यास लगी है	ᱤᱧ ᱛᱮᱛᱟᱝ ᱤᱧ ᱠᱟᱱᱟ᱾	I am thirsty.	Pack 15 — Daily Needs
मैं थक गया हूँ	ᱤᱧ ᱞᱟᱝᱟ ᱮᱱᱟᱹᱧ᱾	I am tired.	Pack 15 — Daily Needs
मुझे आराम करना है	ᱤᱧ ᱡᱤᱨᱟᱹᱣ ᱞᱟᱹᱠᱛᱤ ᱟᱹᱧ ᱠᱟᱱᱟ᱾	I need to rest.	Pack 15 — Daily Needs
मुझे रहने की जगह चाहिए	ᱤᱧ ᱛᱟᱦᱮᱸᱱ ᱴᱷᱟᱶ ᱞᱟᱹᱠᱛᱤ ᱟᱹᱧ ᱠᱟᱱᱟ᱾	I need a place to stay.	Pack 15 — Daily Needs
